"Domain","Title","Abstract"
"Mathematics","Balanced-chromatic number and Hadwiger-like conjectures","Motivated by different characterizations of planar graphs and the 4-Color Theorem, several structural results concerning graphs of high chromatic number have been obtained. Toward strengthening some of these results, we consider the \emph{balanced chromatic number}, χb(Ĝ), of a signed graph Ĝ. This is the minimum number of parts into which the vertices of a signed graph can be partitioned so that none of the parts induces a negative cycle. This extends the notion of the chromatic number of a graph since χ(G)=χb(G̃), where G̃ denotes the signed graph obtained from~G by replacing each edge with a pair of (parallel) positive and negative edges. We introduce a signed version of Hadwiger's conjecture as follows. 
Conjecture: If a signed graph Ĝ has no negative loop and no Kt~-minor, then its balanced chromatic number is at most t−1. 
We prove that this conjecture is, in fact, equivalent to Hadwiger's conjecture and show its relation to the Odd Hadwiger Conjecture. 
Motivated by these results, we also consider the relation between subdivisions and balanced chromatic number. We prove that if (G,σ) has no negative loop and no Kt~-subdivision, then it admits a balanced 792t2-coloring. This qualitatively generalizes a result of Kawarabayashi (2013) on totally odd subdivisions."
"Mathematics","Permutation and local permutation polynomial of maximum degree","Subjects: Combinatorics (math.CO); Discrete Mathematics (cs.DM)
Let Fq be the finite field with q elements and Fq[x1,…,xn] the ring of polynomials in n variables over Fq. In this paper we consider permutation polynomials and local permutation polynomials over Fq[x1,…,xn], which define interesting generalizations of permutations over finite fields. We are able to construct permutation polynomials in Fq[x1,…,xn] of maximum degree n(q−1)−1 and local permutation polynomials in Fq[x1,…,xn] of maximum degree n(q−2) when q>3, extending previous results."
"Health","Antibiotic Resistance: One Health One World Outlook.","One Health's interconnected domains contribute to the emergence, evolution, and spread of antibiotic-resistant microorganisms on a local and global scale, which is a significant risk factor for global health"
"Health","Public and Population Health Informatics: The Bridging of Big Data to Benefit Communities.","The search included articles indexed in PubMed using subject headings with (MeSH) keywords ""public health informatics"" and ""social determinants of health"". The ""social determinants of health"" search was refined to include articles that contained the keywords …"
"Health"," 
COVID-19 pandemic and mitigation strategies: implications for maternal and child health and nutrition.
","Coronavirus disease 2019 (COVID-19) continues to ravage health and economic metrics globally, including progress in maternal and child nutrition. ...This review highlights key areas of concern for maternal and child nutrition during and in the aftermath of COVID-19"
"Machine Learning","Recent advancement in Disease Diagnostic using machine learning: Systematic survey of decades, comparisons, and challenges","Computer-aided diagnosis (CAD), a vibrant medical imaging research field, is expanding quickly. Because errors in medical diagnostic systems might lead to seriously misleading medical treatments, major efforts have been made in recent years to improve computer-aided diagnostics applications. The use of machine learning in computer-aided diagnosis is crucial. A simple equation may result in a false indication of items like organs. Therefore, learning from examples is a vital component of pattern recognition. Pattern recognition and machine learning in the biomedical area promise to increase the precision of disease detection and diagnosis. They also support the decision-making process's objectivity. Machine learning provides a practical method for creating elegant and autonomous algorithms to analyze high-dimensional and multimodal bio-medical data. This review article examines machine-learning algorithms for detecting diseases, including hepatitis, diabetes, liver disease, dengue fever, and heart disease. It draws attention to the collection of machine learning techniques and algorithms employed in studying conditions and the ensuing decision-making process."
"Machine Learning","Compressed and distributed least-squares regression: convergence rates with applications to Federated Learning","In this paper, we investigate the impact of compression on stochastic gradient algorithms for machine learning, a technique widely used in distributed and federated learning. We underline differences in terms of convergence rates between several unbiased compression operators, that all satisfy the same condition on their variance, thus going beyond the classical worst-case analysis. To do so, we focus on the case of least-squares regression (LSR) and analyze a general stochastic approximation algorithm for minimizing quadratic functions relying on a random field. We consider weak assumptions on the random field, tailored to the analysis (specifically, expected H\""older regularity), and on the noise covariance, enabling the analysis of various randomizing mechanisms, including compression. We then extend our results to the case of federated learning. 
More formally, we highlight the impact on the convergence of the covariance ℭania of the additive noise induced by the algorithm. We demonstrate despite the non-regularity of the stochastic field, that the limit variance term scales with Tr(ℭaniaH−1)/K (where H is the Hessian of the optimization problem and K the number of iterations) generalizing the rate for the vanilla LSR case where it is σ2Tr(HH−1)/K=σ2d/K (Bach and Moulines, 2013). Then, we analyze the dependency of ℭania on the compression strategy and ultimately its impact on convergence, first in the centralized case, then in two heterogeneous FL frameworks."
"Machine Learning","Regularization, early-stopping and dreaming: a Hopfield-like setup to address generalization and overfitting","In this work we approach attractor neural networks from a machine learning perspective: we look for optimal network parameters by applying a gradient descent over a regularized loss function. Within this framework, the optimal neuron-interaction matrices turn out to be a class of matrices which correspond to Hebbian kernels revised by iteratively applying some unlearning protocols. Remarkably, the number of unlearning steps is proved to be related to the regularization hyperparameters of the loss function and to the training time. Thus, we can design strategies to avoid overfitting that are formulated in terms of the algebraic properties of the interaction matrix, or, equivalently, in terms of regularization tuning and early-stopping strategies. The generalization capabilities of these attractor networks are also investigated: analytical results are obtained for random synthetic datasets, next, the emerging picture is corroborated by numerical experiments that highlight the existence of several regimes (i.e., overfitting, failure and success) as the dataset parameters are varied"
"Machine Learning","Price-Aware Deep Learning for Electricity Markets","While deep learning gradually penetrates operational planning, its inherent prediction errors may significantly affect electricity prices. This letter examines how prediction errors propagate into electricity prices, revealing notable pricing errors and their spatial disparity in congested power systems. To improve fairness, we propose to embed electricity market-clearing optimization as a deep learning layer. Differentiating through this layer allows for balancing between prediction and pricing errors, as oppose to minimizing prediction errors alone. This layer implicitly optimizes fairness and controls the spatial distribution of price errors across the system. We showcase the price-aware deep learning in the nexus of wind power forecasting and short-term electricity market clearing."
"Machine Learning","Novel Physics-Based Machine-Learning Models for Indoor Air Quality Approximations","Cost-effective sensors are capable of real-time capturing a variety of air quality-related modalities from different pollutant concentrations to indoor/outdoor humidity and temperature. Machine learning (ML) models are capable of performing air-quality ""ahead-of-time"" approximations. Undoubtedly, accurate indoor air quality approximation significantly helps provide a healthy indoor environment, optimize associated energy consumption, and offer human comfort. However, it is crucial to design an ML architecture to capture the domain knowledge, so-called problem physics. In this study, we propose six novel physics-based ML models for accurate indoor pollutant concentration approximations. The proposed models include an adroit combination of state-space concepts in physics, Gated Recurrent Units, and Decomposition techniques. The proposed models were illustrated using data collected from five offices in a commercial building in California. The proposed models are shown to be less complex, computationally more efficient, and more accurate than similar state-of-the-art transformer-based models. The superiority of the proposed models is due to their relatively light architecture (computational efficiency) and, more importantly, their ability to capture the underlying highly nonlinear patterns embedded in the often contaminated sensor-collected indoor air quality temporal data."
